CYGBLD_ISO_STDLIB_MB_CUR_MAX_HEADER, String
CYGDBG_INFRA_DEBUG_TRACE_BUFFER_PRINT, Bool
CYGINT_IO_ETH_INT_SUPPORT_REQUIRED, Number
CYGBLD_ISO_ERRNO_CODES_HEADER, String
CYGFUN_LIBC_STRING_BSD_FUNCS, Bool
CYGPKG_IO_SERIAL_FLOW_CONTROL, Bool
CYGSEM_LIBC_EXIT_STOPS_SYSTEM, Bool
CYGINT_ISO_SIGNAL_NUMBERS, Number
CYGPKG_POWER_TESTS, String
CYGBLD_ISO_FNMATCH_HEADER, String
CYGIMP_LIBC_STDLIB_INLINE_ATOX, Bool
CYGINT_ISO_STRTOK_R, Number
CYGPKG_IO_DISK, Bool
CYGIMP_LIBC_TIME_GMTIME_INLINE, Bool
CYGBLD_ISO_DLFCN_HEADER, String
CYGBLD_ISO_FCNTL_HEADER, String
CYGNUM_VNC_SERVER_INCLUDE_VNC_PRINTF, Bool
CYGIMP_HAL_COMMON_INTERRUPTS_CHAIN, Bool
CYGNUM_KERNEL_SCHED_BITMAP_SIZE, String
CYGDAT_UITRON_TASK_EXTERNS, String
CYGPKG_LIBM_CFLAGS_REMOVE, String
CYGPKG_LIBC_STDIO_OPEN, Bool
CYGIMP_KERNEL_INTERRUPTS_CHAIN, Bool
CYGNUM_KERNEL_INSTRUMENT_BUFFER_SIZE, Number
CYGPKG_SNMPAGENT_V3_SUPPORT, Bool
CYGPKG_LIBC_TIME_CFLAGS_ADD, String
CYGPKG_POSIX_PTHREAD, Bool
CYGPKG_SNMPLIB_FILESYSTEM_SUPPORT, Bool
CYGINT_ISO_CTYPE, Number
CYGPRI_SER_TEST_SER_DEV, String
CYGINT_HAL_TESTS_NO_CACHES, Number
CYGIMP_INFRA_PREFER_SMALL_TO_FAST_MEMCPY, Bool
CYGNUM_NS_DNS_GETADDRINFO_ADDRESSES, String
CYGHWR_NET_DRIVER_ETH0_SETUP_OPTIONS, Bool
CYGPKG_UITRON_CFLAGS_REMOVE, String
CYGSEM_LIBC_STDIO_SCANF_FLOATING_POINT, Bool
CYGSEM_HAL_ENABLE_ICACHE_ON_STARTUP, Bool
CYGDBG_INFRA_DEBUG_FUNCTION_REPORTS, Bool
CYGBLD_INFRA_CFLAGS_PIPE, Bool
CYGNUM_IO_FLASH_BLOCK_ABSOLUTE_START_1, Number
CYGPKG_FS_RAM_BLOCKS, Bool
CYGINT_ISO_POSIX_CLOCKS, Number
CYGFUN_INFRA_EMPTY_DELETE_FUNCTIONS, Bool
CYGMFN_KERNEL_SYNCH_CONDVAR_TIMED_WAIT, Bool
CYGNUM_NET_DHCP_OPTION_HOST_NAME_LEN, Number
CYGOPT_IO_SERIAL_SUPPORT_NONBLOCKING, Bool
CYGPKG_IO_WATCHDOG_OPTIONS, Bool
CYGMFN_KERNEL_SYNCH_MBOXT_PUT_CAN_WAIT, Bool
CYGPKG_ISO_SELECT, Bool
CYGNUM_VNC_SERVER_PORT, String
CYGBLD_ISO_NAME_MAX_HEADER, String
CYGSEM_UITRON_ISRFUNCS_TRY_IMMEDIATE_EXECUTION, Bool
CYGDAT_UITRON_TASK_INITIALIZERS, String
CYGNUM_PPP_CHAT_STRING_LENGTH, Number
CYGPKG_DEVS_ETH_I386_PC_LANCEPCI, Bool
CYGPKG_ISOINFRA_CFLAGS_REMOVE, String
CYGNUM_NET_THREAD_STACKSIZE, String
CYGIMP_INFRA_PREFER_SMALL_TO_FAST_MEMSET, Bool
CYGPKG_MEMALLOC_MALLOC_ALLOCATORS, Bool
CYGPKG_IO_WALLCLOCK_IMPLEMENTATION, Bool
CYGHWR_NET_DRIVER_ETH1_ADDRS_SERVER, String
CYGHWR_NET_DRIVER_ETH0_ADDRS_BROADCAST, String
CYGNUM_HAL_I386_PC_STARTUP_VIDEO_MODE, String
CYGBLD_ISO_UTSNAME_HEADER, String
CYGBLD_ISO_STAT_DEFS_HEADER, String
CYGBLD_ISO_STDIO_FILEPOS_HEADER, String
CYGPKG_NET_SNTP_TESTS, String
CYGBLD_ISO_DIRENT_HEADER, String
CYGIMP_LIBC_TIME_CTIME_R_INLINE, Bool
CYGDBG_KERNEL_DEBUG_GDB_THREAD_SUPPORT, Bool
CYGPKG_MEMALLOC_OPTIONS, Bool
CYGBLD_ISO_SIGNAL_IMPL_HEADER, String
CYGSEM_LIBC_STDIO_PRINTF_FLOATING_POINT, Bool
CYGPKG_IO_ETH_DRIVERS_SIMULATED_FAILURES, Bool
CYGOPT_FS_JFFS2_WRITE, Bool
CYGPKG_DEVICES_WALLCLOCK_DALLAS_DS12887, Bool
CYGNUM_LIBC_ATEXIT_HANDLERS, Number
CYGINT_KERNEL_SCHEDULER_UNIQUE_PRIORITIES, Number
CYGDBG_IO_ETH_DRIVERS_DEBUG, Bool
CYGINT_ISO_RAND, Number
CYGNUM_NET_DHCP_MIN_RETRY_TIME, Number
CYGNUM_HAL_VIRTUAL_VECTOR_CONSOLE_CHANNEL, Number
CYGPKG_ISO_STRING, Bool
CYGHWR_MEMORY_LAYOUT_H, String
CYGNUM_VNC_SERVER_PIXEL_RGB565, Bool
CYGSEM_HAL_COMMON_INTERRUPTS_ALLOW_NESTING, Bool
CYGNUM_FILEIO_FSTAB_MAX, Number
CYGPKG_UITRON_MEMPOOLFIXED_CREATE_DELETE, Bool
CYGBLD_ISO_STRUCTTIMEVAL_HEADER, String
CYGNUM_KERNEL_COUNTERS_RTC_PERIOD, String
CYGDAT_IO_SERIAL_TTY_TTY0_DEV, String
CYGHWR_IO_FLASH_BLOCK_LOCKING, Number
CYGFUN_LIBC_ATEXIT, Bool
CYGOPT_FS_JFFS2_COMPRESS_ZLIB, Bool
CYGPKG_IO_FILEIO_DEVFS_SUPPORT, Bool
CYGOPT_FS_JFFS2_COMPRESS, Bool
CYGDAT_UITRON_MEMPOOLVAR_EXTERNS, String
